subject,relation,object,sentence
other members,are,capable,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
members,are capable In addition to,smallpox,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
other members,causing,infection,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
several members,are,capable,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
members,causing infection including,monkeypox,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
several other members,are capable In addition to,smallpox,"In addition to smallpox, several other members of the genus are capable of causing human infection, including monkeypox, cowpox, and other zoonotic rodent-borne poxviruses."
Infection,results in,spectrum of clinical illness,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of clinical illness ranging,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of illness ranging from infection,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of illness ranging from asymptomatic infection,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of illness ranging,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of clinical illness ranging from infection,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of illness,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
Infection,results in,spectrum of clinical illness ranging from asymptomatic infection,"Infection results in a spectrum of clinical illness ranging from asymptomatic infection, undifferentiated fever, dengue fever, dengue haemorrhagic fever (DHF) to dengue shock syndrome (DSS)."
infections,is with,asthma,"Though viral respiratory tract infections are reported triggers for exacerbations, information on these infections with asthma is sparse in Caribbean territories."
exacerbations,information on,infections with asthma,"Though viral respiratory tract infections are reported triggers for exacerbations, information on these infections with asthma is sparse in Caribbean territories."
tract infections,are,reported,"Though viral respiratory tract infections are reported triggers for exacerbations, information on these infections with asthma is sparse in Caribbean territories."
